,name,ratingo,rating,comments,review
0,"<p class=""_2sc7ZR _2V5EHH"">Shailesh Yadav</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Perfect product!</p>","<div class=""t-ZTKy""><div><div class="""">Thanks flipcart for providing me such a good product. Camera and display both works in very good manners . Fast charging, Battery backup is very good .</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
1,"<p class=""_2sc7ZR _2V5EHH"">Sneha Ghosalkar</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Worth every penny</p>","<div class=""t-ZTKy""><div><div class="""">Thank you so much Flipkart for fulfilling my needs. Satisfied with the service and the product given. So so so happy. One of the best phone.</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
2,"<p class=""_2sc7ZR _2V5EHH"">Rahul Rai</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Just wow!</p>","<div class=""t-ZTKy""><div><div class="""">Value for money, Rear camera is awesome, Front camera is great in good lighting condition, Battary backup is decent, Charging is very fast with 80 watt charger, charges in 30 minutes from 0 to 100. Beautiful design, hold and looks premium in hand. In hand feel is awesome.</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
3,"<p class=""_2sc7ZR _2V5EHH"">Tajaram Mharaj</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Terrific</p>","<div class=""t-ZTKy""><div><div class="""">This phone is really good. Best way to use it Battery, Display, and Version v best.... Camera amazing quality.... Thank you OnePlus tem</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
4,"<p class=""_2sc7ZR _2V5EHH"">Burair  Jafri </p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Fabulous!</p>","<div class=""t-ZTKy""><div><div class="""">First time I purchased OnePlus phone.. the phone is superb it is smooth and does it work bas per its processor and the given features.<br>And the product look and feel of the the model is having the OnePlus core signature built value of this product.. overall experience regarding this device.. its OSM.  I love OnePlus.🤩...❤️</br></div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
5,"<p class=""_2sc7ZR _2V5EHH"">Virendra Kushwaha</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Mind-blowing purchase</p>","<div class=""t-ZTKy""><div><div class="""">Very nice and good phone power full procecer and colour very nice and battery charger very fast</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
6,"<p class=""_2sc7ZR _2V5EHH"">Deep Das</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Simply awesome</p>","<div class=""t-ZTKy""><div><div class="""">Great phone I can say balanced phone , everything is upto mark  camera, display, and battery is charging so fast ..17min full charge ...<br/>Great camera and display quality.<br/>Dolby sound....loud 🔊 sound...<br/>Overall I m satisfied...m<br/>I add some camera samples of both back and font came it's awesome 👍</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
7,"<p class=""_2sc7ZR _2V5EHH"">Md Akbar Alam</p>","<div class=""_3LWZlK _1BLPMq"">4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Delightful</p>","<div class=""t-ZTKy""><div><div class="""">Phone is really good camera 📷 best quality <br/>Super display full smooth and light weight in hand fill good</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
8,"<p class=""_2sc7ZR _2V5EHH"">Dnyaneshwar Sarkunde</p>","<div class=""_3LWZlK _1BLPMq"">4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Value-for-money</p>","<div class=""t-ZTKy""><div><div class="""">Very good nice products sound quality is good thank you flipkart</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
9,"<p class=""_2sc7ZR _2V5EHH"">MAHESH SRIRAMULA</p>","<div class=""_3LWZlK _1BLPMq"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>",4.4,"<p class=""_2-N8zT"">Must buy!</p>","<div class=""t-ZTKy""><div><div class="""">I like the sterio speakers very much right from the beginning. The overall performance is excellent. I liked the dual video mode as well. Full charging taking around 30-35 minutes I guess which is very quick.</div><span class=""_1H-bmy""><span>READ MORE</span></span></div></div>"
